product_id,inventory_id,store_id,transaction_id,film_title,film_description,special_features,film_category,film_language,rating,length_of_film,number_of_days_rented,rental_rate,replacement_cost
1,1,1,4863,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies","Deleted Scenes,Behind the Scenes",Documentary,English,PG,86,6,0.99,20.99
2,9,2,10310,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China","Trailers,Deleted Scenes",Horror,English,G,48,3,4.99,12.99
3,12,2,6999,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory","Trailers,Deleted Scenes",Documentary,English,NC-17,50,7,2.99,18.99
4,16,1,6493,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank","Commentaries,Behind the Scenes",Horror,English,G,117,5,2.99,26.99
5,23,2,552,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico","Deleted Scenes",Family,English,G,130,6,2.99,22.99
6,26,1,317,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China","Deleted Scenes",Foreign,English,PG,169,3,2.99,17.99
7,32,1,11084,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat","Trailers,Deleted Scenes",Comedy,English,PG-13,62,6,4.99,28.99
8,37,2,120,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",Trailers,Horror,English,R,54,6,4.99,15.99
9,41,1,5745,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat","Trailers,Deleted Scenes",Horror,English,PG-13,114,3,2.99,21.99
10,46,1,1948,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China","Trailers,Deleted Scenes",Sports,English,NC-17,63,6,4.99,24.99
11,53,1,563,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention","Commentaries,Behind the Scenes",Foreign,English,G,126,6,0.99,16.99
12,60,1,6936,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia","Commentaries,Deleted Scenes",Music,English,PG,136,6,0.99,22.99
13,67,2,10015,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies","Deleted Scenes,Behind the Scenes",Horror,English,PG,150,4,4.99,21.99
14,NULL,NULL,NULL,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia","Trailers,Deleted Scenes,Behind the Scenes",Classics,English,NC-17,94,6,0.99,23.99
15,71,1,505,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention","Trailers,Commentaries,Behind the Scenes",Foreign,English,NC-17,46,5,2.99,10.99
16,77,1,10103,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans","Trailers,Commentaries",Foreign,English,NC-17,180,6,2.99,23.99
17,81,1,10606,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House","Trailers,Behind the Scenes",Music,English,R,82,3,0.99,14.99
18,87,1,664,"ALTER VICTORY","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies","Trailers,Behind the Scenes",Animation,English,PG-13,57,6,0.99,27.99
19,93,1,10895,"AMADEUS HOLY","A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon","Commentaries,Deleted Scenes,Behind the Scenes",Action,English,PG,113,6,0.99,20.99
20,99,1,2199,"AMELIE HELLFIGHTERS","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon","Commentaries,Deleted Scenes,Behind the Scenes",Music,English,R,79,4,4.99,23.99
21,102,1,207,"AMERICAN CIRCUS","A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank","Commentaries,Behind the Scenes",Action,English,R,129,3,4.99,17.99
22,108,1,1269,"AMISTAD MIDSUMMER","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California","Commentaries,Behind the Scenes",New,English,G,85,6,2.99,10.99
23,115,1,1364,"ANACONDA CONFESSIONS","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia","Trailers,Deleted Scenes",Animation,English,R,92,3,0.99,9.99
24,120,1,3021,"ANALYZE HOOSIERS","A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert","Trailers,Behind the Scenes",Horror,English,R,181,6,2.99,19.99
25,124,1,3823,"ANGELS LIFE","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",Trailers,New,English,G,74,3,2.99,15.99
26,130,1,699,"ANNIE IDENTITY","A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park","Commentaries,Deleted Scenes",Sci-Fi,English,G,86,3,0.99,15.99
27,135,1,1861,"ANONYMOUS HUMAN","A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank","Deleted Scenes,Behind the Scenes",Sports,English,NC-17,179,7,0.99,12.99
28,139,1,91,"ANTHEM LUKE","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park","Deleted Scenes,Behind the Scenes",Comedy,English,PG-13,91,5,4.99,16.99
29,142,1,1123,"ANTITRUST TOMATOES","A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India","Trailers,Commentaries,Deleted Scenes",Action,English,NC-17,168,5,2.99,11.99
30,144,1,1710,"ANYTHING SAVANNAH","A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House","Trailers,Deleted Scenes,Behind the Scenes",Horror,English,R,82,4,2.99,27.99
31,146,1,21,"APACHE DIVINE","A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat","Commentaries,Deleted Scenes,Behind the Scenes",Family,English,NC-17,92,5,4.99,16.99
32,154,2,6981,"APOCALYPSE FLAMINGOS","A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park","Trailers,Commentaries",New,English,R,119,6,4.99,11.99
33,NULL,NULL,NULL,"APOLLO TEEN","A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",Drama,English,PG-13,153,5,2.99,15.99
34,156,2,10670,"ARABIA DOGMA","A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria","Commentaries,Deleted Scenes",Horror,English,NC-17,62,6,0.99,29.99
35,160,1,8648,"ARACHNOPHOBIA ROLLERCOASTER","A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station","Trailers,Deleted Scenes,Behind the Scenes",Horror,English,PG-13,147,4,2.99,24.99
